filename,width_x,height_x,class,xmin,ymin,xmax,ymax,width_y,height_y,classy,p_xmin,p_ymin,p_xmax,p_ymax,iou
AUT-0003.jpg,3648,2736,bolt_a,1214,1147,1626,1544,729.0,671.0,nat,1425,1382,2154,2053,0.05293501048218029
AUT-0003.jpg,3648,2736,bolt_a,1214,1147,1626,1544,729.0,671.0,nat,1425,1382,2154,2053,0.05293501048218029
AUT-0004.jpg,3648,2736,bolt_a,1551,1039,1917,1384,421.0,491.0,nat,1755,1164,2176,1655,0.12064652039801328
AUT-0004.jpg,3648,2736,bolt_a,1551,1039,1917,1384,421.0,491.0,nat,1755,1164,2176,1655,0.12064652039801328
AUT-0005.jpg,2736,3648,bolt_b,1032,1345,1440,1790,615.0,592.0,nat,1248,1550,1863,2142,0.09280530897525684
AUT-0005.jpg,2736,3648,bolt_b,1032,1345,1440,1790,615.0,592.0,nat,1248,1550,1863,2142,0.09280530897525684
AUT-0005.jpg,2736,3648,vague,1016,2330,1277,2580,615.0,592.0,nat,1248,1550,1863,2142,0.0
AUT-0005.jpg,2736,3648,vague,1016,2330,1277,2580,615.0,592.0,nat,1248,1550,1863,2142,0.0
AUT-0006.jpg,2736,3648,vague,676,1299,847,1455,243.0,222.0,nat,1506,3531,1749,3753,0.0
AUT-0006.jpg,2736,3648,vague,676,1299,847,1455,243.0,222.0,nat,1506,3531,1749,3753,0.0
AUT-0006.jpg,2736,3648,vague,654,1796,831,1967,243.0,222.0,nat,1506,3531,1749,3753,0.0
AUT-0006.jpg,2736,3648,vague,654,1796,831,1967,243.0,222.0,nat,1506,3531,1749,3753,0.0
AUT-0006.jpg,2736,3648,vague,1796,1878,1975,2055,243.0,222.0,nat,1506,3531,1749,3753,0.0
AUT-0006.jpg,2736,3648,vague,1796,1878,1975,2055,243.0,222.0,nat,1506,3531,1749,3753,0.0
AUT-0007.jpg,2736,3648,bolt_b,1182,1312,1315,1434,294.0,547.0,nat,1241,1641,1535,2188,0.0
AUT-0007.jpg,2736,3648,bolt_b,1182,1312,1315,1434,294.0,547.0,nat,1241,1641,1535,2188,0.0
AUT-0007.jpg,2736,3648,bolt_b,1090,1696,1220,1838,294.0,547.0,nat,1241,1641,1535,2188,0.0
AUT-0007.jpg,2736,3648,bolt_b,1090,1696,1220,1838,294.0,547.0,nat,1241,1641,1535,2188,0.0
AUT-0007.jpg,2736,3648,bolt_c,1620,1207,1694,1353,294.0,547.0,nat,1241,1641,1535,2188,0.0
AUT-0007.jpg,2736,3648,bolt_c,1620,1207,1694,1353,294.0,547.0,nat,1241,1641,1535,2188,0.0
AUT-0007.jpg,2736,3648,bolt_c,1680,1202,1748,1352,294.0,547.0,nat,1241,1641,1535,2188,0.0
AUT-0007.jpg,2736,3648,bolt_c,1680,1202,1748,1352,294.0,547.0,nat,1241,1641,1535,2188,0.0
AUT-0007.jpg,2736,3648,vague,851,2446,951,2511,294.0,547.0,nat,1241,1641,1535,2188,0.0
AUT-0007.jpg,2736,3648,vague,851,2446,951,2511,294.0,547.0,nat,1241,1641,1535,2188,0.0
AUT-0008.jpg,2736,3648,bolt_b,871,8,1070,189,209.0,239.0,nat,1096,820,1305,1059,0.0
AUT-0008.jpg,2736,3648,bolt_b,871,8,1070,189,209.0,239.0,nat,1096,820,1305,1059,0.0
AUT-0008.jpg,2736,3648,bolt_b,989,705,1214,936,209.0,239.0,nat,1096,820,1305,1059,0.15659831963018367
AUT-0008.jpg,2736,3648,bolt_b,989,705,1214,936,209.0,239.0,nat,1096,820,1305,1059,0.15659831963018367
AUT-0008.jpg,2736,3648,bolt_b,1028,1166,1268,1409,209.0,239.0,nat,1096,820,1305,1059,0.0
AUT-0008.jpg,2736,3648,bolt_b,1028,1166,1268,1409,209.0,239.0,nat,1096,820,1305,1059,0.0
AUT-0009.jpg,2736,3648,bolt_b,1034,1980,1335,2312,401.0,450.0,nat,1201,2128,1602,2578,0.09721946491340752
AUT-0009.jpg,2736,3648,bolt_b,1034,1980,1335,2312,401.0,450.0,nat,1201,2128,1602,2578,0.09721946491340752
AUT-0013.jpg,3648,2736,vague,1426,1036,1559,1176,524.0,500.0,bolt,2371,1481,2895,1981,0.0
AUT-0013.jpg,3648,2736,vague,1426,1036,1559,1176,524.0,500.0,bolt,2371,1481,2895,1981,0.0
AUT-0013.jpg,3648,2736,vague,2290,1080,2417,1210,524.0,500.0,bolt,2371,1481,2895,1981,0.0
AUT-0013.jpg,3648,2736,vague,2290,1080,2417,1210,524.0,500.0,bolt,2371,1481,2895,1981,0.0
AUT-0015.jpg,2736,3648,bolt_b,583,2667,784,2861,312.0,342.0,bolt,1515,1601,1827,1943,0.0
AUT-0015.jpg,2736,3648,bolt_b,583,2667,784,2861,312.0,342.0,bolt,1515,1601,1827,1943,0.0
AUT-0015.jpg,2736,3648,bolt_b,1608,1214,1783,1399,312.0,342.0,bolt,1515,1601,1827,1943,0.0
AUT-0015.jpg,2736,3648,bolt_b,1608,1214,1783,1399,312.0,342.0,bolt,1515,1601,1827,1943,0.0
AUT-0015.jpg,2736,3648,bolt_b,2137,429,2315,615,312.0,342.0,bolt,1515,1601,1827,1943,0.0
AUT-0015.jpg,2736,3648,bolt_b,2137,429,2315,615,312.0,342.0,bolt,1515,1601,1827,1943,0.0
AUT-0023.jpg,3648,2736,bolt_b,1482,1425,1760,1692,307.0,329.0,bolt,1630,1545,1937,1874,0.12347157122478092
AUT-0023.jpg,3648,2736,bolt_b,1482,1425,1760,1692,307.0,329.0,bolt,1630,1545,1937,1874,0.12347157122478092
AUT-0023.jpg,3648,2736,bolt_b,2631,1429,2910,1719,307.0,329.0,bolt,1630,1545,1937,1874,0.0
AUT-0023.jpg,3648,2736,bolt_b,2631,1429,2910,1719,307.0,329.0,bolt,1630,1545,1937,1874,0.0
AUT-0024.jpg,3648,2736,bolt_b,584,1234,768,1412,393.0,389.0,nat,2784,1280,3177,1669,0.0
AUT-0024.jpg,3648,2736,bolt_b,584,1234,768,1412,393.0,389.0,nat,2784,1280,3177,1669,0.0
AUT-0024.jpg,3648,2736,bolt_b,2737,1200,2926,1369,393.0,389.0,nat,2784,1280,3177,1669,0.07435438211335144
AUT-0024.jpg,3648,2736,bolt_b,2737,1200,2926,1369,393.0,389.0,nat,2784,1280,3177,1669,0.07435438211335144
AUT-0025.jpg,2736,3648,bolt_b,1266,1538,1743,2008,572.0,570.0,nat,1436,1749,2008,2319,0.1695744333931192
AUT-0025.jpg,2736,3648,bolt_b,1266,1538,1743,2008,572.0,570.0,nat,1436,1749,2008,2319,0.1695744333931192
AUT-0026.jpg,3648,2736,vague,1732,429,1792,475,324.0,171.0,bolt,3382,2137,3706,2308,0.0
AUT-0026.jpg,3648,2736,vague,1732,429,1792,475,324.0,171.0,bolt,3382,2137,3706,2308,0.0
AUT-0026.jpg,3648,2736,vague,1926,419,1984,468,324.0,171.0,bolt,3382,2137,3706,2308,0.0
AUT-0026.jpg,3648,2736,vague,1926,419,1984,468,324.0,171.0,bolt,3382,2137,3706,2308,0.0
AUT-0026.jpg,3648,2736,vague,1733,1267,1807,1334,324.0,171.0,bolt,3382,2137,3706,2308,0.0
